鄉鎮市區,交易標的,土地區段位置/建物區段門牌,土地移轉總面積(平方公尺),都市土地使用分區,非都市土地使用分區,非都市土地使用編定,交易年月日,交易筆棟數,移轉層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物移轉總面積(平方公尺),建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,總價(元),單價(元/平方公尺),車位類別,車位移轉總面積(平方公尺),車位總價(元),備註,編號
The villages and towns urban district,transaction sign,land sector position/building sector house number plate,land shifting total area (square meter),the use zoning or compiles and checks,the non-metropolis land use district,non-metropolis land use,transaction year, month and day,transaction pen number,shifting level,total floor number,building state,main use,main building materials,construction to complete the years,building shifting total area,Building present situation pattern - room,building present situation pattern - hall,building present situation pattern - health,building present situation pattern - compartmented,Whether there is manages the organization,total price (Yuan),the unit price (a Yuan/square meter),the berth category,berth shifting total area (square meter),the berth total price (Yuan),the note,serial number
花蓮市,房地(土地+建物),花蓮縣花蓮市國興五街61~90號,8.4,住,,,1070511,土地1建物1車位0,三層,七層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0840114,45.21,1,1,1,有,有,1806000,39947,,0.0,0,,RPUNMLMLNHNFFAU27CA
花蓮市,土地,民心段361~390地號,99.0,工,,,1070514,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,3270000,33030,,0.0,0,,RPVNMLMLNHNFFAU37CA
花蓮市,房地(土地+建物)+車位,花蓮縣花蓮市中美路93巷1~30號,22.45,商,,,1070509,土地2建物2車位1,二層,七層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0820109,237.86,3,2,2,有,有,5300000,22283,坡道平面,15.3,0,,RPXNMLMLNHNFFAU57CA
吉安鄉,房地(土地+建物),花蓮縣吉安鄉舊村六街121~150號,81.0,住,,,1070409,土地1建物1車位0,全,三層,透天厝,住家用,鋼筋混凝土造,0980213,167.49,4,2,5,有,無,7800000,46570,,0.0,0,,RPOOMLMLNHNFFAU76CA
壽豐鄉,土地,共和段241~270地號,3037.11,,一般農業區,農牧用地,1070420,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,4555658,1500,,0.0,0,,RPPNMLNLNHNFFAU86CA
花蓮市,房地(土地+建物),花蓮縣花蓮市華安街61~90號,72.47,住,,,1070417,土地1建物1車位0,二層,四層,其他,見其他登記事項,鋼筋混凝土造,1061229,207.84,4,2,3,有,無,11000000,52925,,0.0,0,,RPUNMLNLNHNFFAU37CA
花蓮市,房地(土地+建物),花蓮縣花蓮市中興路211~240號,22.0,住,,,1070114,土地1建物1車位0,四層,八層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0821109,144.55,3,2,2,有,有,5080000,35144,,0.0,0,,RPPNMLOLNHNFFAU96CA
花蓮市,房地(土地+建物),花蓮縣花蓮市建國路二段751~780號,156.0,住,,,1070510,土地1建物1車位0,全,四層,透天厝,住家用,鋼筋混凝土造,1040831,362.65,5,3,6,有,無,25000000,68937,,0.0,0,,RPQNMLPLNHNFFAU17CA
吉安鄉,房地(土地+建物),花蓮縣吉安鄉舊村六街120巷1~30號,83.0,住,,,1070406,土地1建物1車位0,全,三層,透天厝,住家用,鋼筋混凝土造,0980213,169.7,4,2,5,有,無,8230000,48497,,0.0,0,,RPQNMLSLNHNFFAU47CA
秀林鄉,土地,佳民段1081~1110地號,2622.0,,一般農業區,農牧用地,1070402,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,2200000,839,,0.0,0,,RPROMLPLNHNFFAU37CA
壽豐鄉,土地,吳全段511~540地號,2862.45,農,,,1070508,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,5195340,1815,,0.0,0,,RPSPMLSJOHNFFAU77CA
花蓮市,房地(土地+建物)+車位,花蓮縣花蓮市國聯五路1~30號,77.74,商,,,1070501,土地3建物2車位1,全,四層,透天厝,住商用,鋼筋混凝土造,0841227,270.65,8,2,2,有,無,14300000,52836,坡道平面,75.6,0,,RPSNMLPKOHNFFAU37CA
富里鄉,土地,東里段961~990地號,2674.43,,特定農業區,農牧用地,1070510,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,1738000,650,,0.0,0,,RPRNMLMLNHNFFCU17CA
瑞穗鄉,房地(土地+建物),花蓮縣瑞穗鄉成功南路31~60號,680.0,住,,,1070503,土地3建物1車位0,全,一層,透天厝,住家用,鋼筋混凝土加強磚造,0640325,74.91,4,2,2,有,無,5980000,79829,,0.0,0,權利人等3人買賣總價含未辦保存登記房屋一棟,RPRNMLLJOHNFFCU96CA
吉安鄉,建物,花蓮縣吉安鄉吉安路一段31~60號,0.0,,,,1070516,土地0建物1車位0,全,四層,透天厝,見其他登記事項,鋼筋混凝土造,0810429,131.62,7,2,3,有,無,242900,1845,,0.0,0,親友、員工或其他特殊關係間之交易。,RPSNMLNLNHNFFAU37EA
