鄉鎮市區,交易標的,土地區段位置/建物區段門牌,土地移轉總面積(平方公尺),都市土地使用分區,非都市土地使用分區,非都市土地使用編定,交易年月日,交易筆棟數,移轉層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物移轉總面積(平方公尺),建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,總價(元),單價(元/平方公尺),車位類別,車位移轉總面積(平方公尺),車位總價(元),備註,編號
The villages and towns urban district,transaction sign,land sector position/building sector house number plate,land shifting total area (square meter),the use zoning or compiles and checks,the non-metropolis land use district,non-metropolis land use,transaction year, month and day,transaction pen number,shifting level,total floor number,building state,main use,main building materials,construction to complete the years,building shifting total area,Building present situation pattern - room,building present situation pattern - hall,building present situation pattern - health,building present situation pattern - compartmented,Whether there is manages the organization,total price (Yuan),the unit price (a Yuan/square meter),the berth category,berth shifting total area (square meter),the berth total price (Yuan),the note,serial number
羅東鎮,房地(土地+建物),宜蘭縣羅東鎮南昌東街1~30號,7.66,住,,,1070504,土地1建物1車位0,六層,八層,套房(1房1廳1衛),住家用,鋼筋混凝土造,0850401,49.05,1,1,1,有,有,2550000,51988,,0.0,0,,RPXNMLMLNHNFFAG78CA
羅東鎮,房地(土地+建物)+車位,宜蘭縣羅東鎮豐年路61~90號,29.2,住,,,1070422,土地1建物1車位1,五層,六層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0861224,135.98000000000002,3,2,2,有,有,6720000,49419,坡道平面,0.0,0,,RPPOMLMLNHNFFAG08CA
羅東鎮,房地(土地+建物),宜蘭縣羅東鎮體育路11巷1~30號,60.0,住,,,1070416,土地1建物1車位0,全,三層,透天厝,住家用,鋼筋混凝土造,0660923,137.97,6,1,5,有,無,9400000,68131,,0.0,0,1.2.3樓後方增建,RPPNMLNLNHNFFAG08CA
羅東鎮,房地(土地+建物),宜蘭縣羅東鎮純精路二段248巷1~30號,44.69,住,,,1070509,土地2建物1車位0,四層,四層,公寓(5樓含以下無電梯),住家用,見其他登記事項,0640227,92.49,3,2,2,有,無,4200000,45410,,0.0,0,,RPOOMLNLNHNFFAG08CA
冬山鄉,房地(土地+建物),宜蘭縣冬山鄉進福路70巷1~30號,36.2,,特定農業區,甲種建築用地,1070428,土地1建物1車位0,四層,四層,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0850820,101.6,3,2,2,有,無,2700000,26575,,0.0,0,含增建或未登記建物。登記名義人有二人。,RPQOMLNLNHNFFAG28CA
冬山鄉,房地(土地+建物),宜蘭縣冬山鄉義成路三段541~570號,80.09,商,,,1070328,土地1建物1車位0,全,三層,透天厝,住家用,鋼筋混凝土加強磚造,0700218,207.9,3,2,3,有,無,12400000,59644,,0.0,0,,RPROMLPLNHNFFAG58CA
冬山鄉,房地(土地+建物),宜蘭縣冬山鄉武罕二路59巷1~30號,97.12,,特定農業區,甲種建築用地,1070402,土地3建物1車位0,全,三層,透天厝,住家用,見其他登記事項,1041106,174.73,5,2,5,有,無,10500000,60093,,0.0,0,,RPTOMLPLNHNFFAG78CA
羅東鎮,房地(土地+建物),宜蘭縣羅東鎮天津路1巷1~30號,33.2,商,,,1070501,土地1建物1車位0,四層,五層,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0691024,116.34,4,2,2,有,無,3880000,33351,,0.0,0,後方陽台廁所增建,RPPNMLSLNHNFFAG58CA
蘇澳鎮,房地(土地+建物),宜蘭縣蘇澳鎮金湖街113巷1~30號,306.05,住,,,1070415,土地6建物2車位0,全,二層,透天厝,住家用,加強磚造,0691231,209.36,6,2,2,有,無,3800000,18151,,0.0,0,,RPQPMLSLNHNFFAG88CA
五結鄉,土地,大吉一段1~30地號,2654.71,,特定農業區,農牧用地,1070404,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,11000000,4144,,0.0,0,,RPRPMLSLNHNFFAG98CA
蘇澳鎮,土地,存仁段361~390地號,87.21,農,,,1070316,土地7建物0車位0,,,其他,,,,0.0,0,0,0,有,無,118710,1361,,0.0,0,,RPTRMLKMNHNFFAG68CA
蘇澳鎮,土地,存仁段361~390地號,16.91,農,,,1070316,土地3建物0車位0,,,其他,,,,0.0,0,0,0,有,無,23040,1363,,0.0,0,,RPWRMLKMNHNFFAG98CA
蘇澳鎮,土地,存仁段361~390地號,16.91,農,,,1070316,土地3建物0車位0,,,其他,,,,0.0,0,0,0,有,無,23040,1363,,0.0,0,,RPXRMLKMNHNFFAG09CA
蘇澳鎮,土地,存仁段361~390地號,50.73,農,,,1070316,土地3建物0車位0,,,其他,,,,0.0,0,0,0,有,無,69075,1362,,0.0,0,,RPOSMLKMNHNFFAG28CA
蘇澳鎮,土地,存仁段361~390地號,50.73,農,,,1070316,土地3建物0車位0,,,其他,,,,0.0,0,0,0,有,無,69075,1362,,0.0,0,,RPPSMLKMNHNFFAG38CA
蘇澳鎮,土地,存仁段361~390地號,392.44,農,,,1070331,土地7建物0車位0,,,其他,,,,0.0,0,0,0,有,無,534195,1361,,0.0,0,,RPQSMLKMNHNFFAG48CA
蘇澳鎮,土地,存仁段361~390地號,183.79,農,,,1070316,土地4建物0車位0,,,其他,,,,0.0,0,0,0,有,無,250200,1361,,0.0,0,,RPRSMLKMNHNFFAG58CA
蘇澳鎮,土地,存仁段361~390地號,39.24,農,,,1070306,土地7建物0車位0,,,其他,,,,0.0,0,0,0,有,無,53415,1361,,0.0,0,,RPWPMLKMNHNFFAG78CA
蘇澳鎮,土地,存仁段361~390地號,25.24,農,,,1070306,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,34380,1362,,0.0,0,,RPXPMLKMNHNFFAG88CA
蘇澳鎮,土地,存仁段361~390地號,87.21,農,,,1070316,土地7建物0車位0,,,其他,,,,0.0,0,0,0,有,無,118710,1361,,0.0,0,,RPPQMLKMNHNFFAG18CA
羅東鎮,房地(土地+建物),宜蘭縣羅東鎮光榮路241~270號,8.1,住,,,1070425,土地2建物1車位0,二層,十二層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0851003,80.09,3,2,2,有,有,4450000,55562,,0.0,0,夾層有增建。,RPQOMLRJOHNFFAG58CA
五結鄉,房地(土地+建物)+車位,宜蘭縣五結鄉大吉五路160巷1~30號,37.58,,一般農業區,甲種建築用地,1070427,土地1建物1車位1,一層,五層,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0840321,105.32,3,2,2,有,無,4380000,41588,坡道平面,0.0,0,停車位僅有使用權。,RPWOMLRJOHNFFAG56CA
五結鄉,房地(土地+建物),宜蘭縣五結鄉中正西路41巷4弄1~30號,27.19,住,,,1070427,土地2建物1車位0,五層,六層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0831227,129.89000000000001,4,1,2,有,有,5000000,38494,,0.0,0,,RPTPMLRJOHNFFAG98CA
冬山鄉,房地(土地+建物),宜蘭縣冬山鄉群英路91~120號,73.03,住,,,1070501,土地1建物1車位0,全,三層,透天厝,住家用,見其他登記事項,1041229,175.45,5,2,6,有,無,16700000,95184,,0.0,0,,RPOOMLSJOHNFFAG48CA
宜蘭市,房地(土地+建物),宜蘭縣宜蘭市大坡路一段1~30號,6.11,商,,,1070425,土地2建物1車位0,十二層,十二層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0841207,62.67,2,1,1,有,無,2000000,31913,,0.0,0,陽台外推,RPQOMLNLNHNFFBG38CA
宜蘭市,房地(土地+建物),宜蘭縣宜蘭市農權路211~240號,46.58,住,,,1070430,土地1建物1車位0,二層,四層,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0720808,77.95,2,2,1,有,無,3000000,38486,,0.0,0,,RPSOMLNLNHNFFBG58CA
宜蘭市,土地,新公園段91~120地號,116.12,住,,,1070424,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,9835560,84702,,0.0,0,,RPTOMLOLNHNFFBG78CA
員山鄉,房地(土地+建物),宜蘭縣員山鄉溫泉路91~120號,112.75,住,,,1070504,土地2建物1車位0,全,二層,透天厝,住家用,鋼筋混凝土造,0790730,141.89,5,3,2,有,無,8600000,60610,,0.0,0,,RPWOMLOLNHNFFBG09CA
宜蘭市,土地,新公園段121~150地號,279.91,住,,,1070414,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,16934500,60500,,0.0,0,,RPSNMLPLNHNFFBG68CA
宜蘭市,房地(土地+建物),宜蘭縣宜蘭市崇聖街61~90號,23.3,商,,,1070417,土地1建物1車位0,三層,八層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0841212,109.03999999999999,2,2,2,有,無,3100000,28430,,0.0,0,,RPPOMLPLNHNFFBG48CA
宜蘭市,房地(土地+建物)+車位,宜蘭縣宜蘭市吉祥路88巷1~30號,35.55,住,,,1050426,土地2建物1車位1,七層,十四層,住宅大樓(11層含以上有電梯),見其他登記事項,鋼筋混凝土造,1070123,181.70999999999998,4,1,2,有,無,10980000,66396,坡道平面,31.4,1000000,,RPOPMLPLNHNFFBG48CA
礁溪鄉,土地,武暖段1021~1050地號,41.67,,特定農業區,甲種建築用地,1070407,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,772922,18549,,0.0,0,,RPQPMLPLNHNFFBG68CA
礁溪鄉,土地,武暖段1021~1050地號,70.1,,特定農業區,甲種建築用地,1070407,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,1300000,18545,,0.0,0,,RPSPMLPLNHNFFBG88CA
