鄉鎮市區,交易標的,土地區段位置/建物區段門牌,土地移轉總面積(平方公尺),都市土地使用分區,非都市土地使用分區,非都市土地使用編定,交易年月日,交易筆棟數,移轉層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物移轉總面積(平方公尺),建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,總價(元),單價(元/平方公尺),車位類別,車位移轉總面積(平方公尺),車位總價(元),備註,編號
The villages and towns urban district,transaction sign,land sector position/building sector house number plate,land shifting total area (square meter),the use zoning or compiles and checks,the non-metropolis land use district,non-metropolis land use,transaction year, month and day,transaction pen number,shifting level,total floor number,building state,main use,main building materials,construction to complete the years,building shifting total area,Building present situation pattern - room,building present situation pattern - hall,building present situation pattern - health,building present situation pattern - compartmented,Whether there is manages the organization,total price (Yuan),the unit price (a Yuan/square meter),the berth category,berth shifting total area (square meter),the berth total price (Yuan),the note,serial number
名間鄉,土地,北大庄段931~960地號,162.86,,一般農業區,丙種建築用地,1070508,土地2建物0車位0,,,其他,,,,0.0,0,0,0,有,無,492600,3025,,0.0,0,,RPQNMLMLNHNFFAM68CA
南投市,土地,內興段301~330地號,171.4,,鄉村區,乙種建築用地,1070430,土地3建物0車位0,,,其他,,,,0.0,0,0,0,有,無,2200000,12835,,0.0,0,,RPUNMLMLNHNFFAM09CA
南投市,土地,嘉和段181~210地號,111.0,住,,,1070417,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,4780000,43063,,0.0,0,,RPVNMLMLNHNFFAM56CA
南投市,土地,樟普寮段1081~1110地號,815.69,,山坡地保育區,農牧用地,1070509,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,1200000,1471,,0.0,0,,RPRNMLOLNHNFFAM98CA
南投市,土地,千秋段811~840地號,119.55,,特定農業區,甲種建築用地,1070416,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,1630000,13634,,0.0,0,,RPVNMLPLNHNFFAM86CA
南投市,土地,千秋段871~900地號,95.99,,特定農業區,農牧用地,1070502,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,990000,10314,,0.0,0,,RPWNMLPLNHNFFAM96CA
名間鄉,土地,東新厝段331~360地號,2189.62,,一般農業區,農牧用地,1070418,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,3800000,1735,,0.0,0,,RPUNMLNLNHNFFAM56CA
南投市,房地(土地+建物)+車位,南投縣南投市南新路159巷1~30號,54.81,住,,,1070422,土地1建物1車位1,五層,六層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0820519,149.88,3,2,2,有,有,4500000,30024,坡道平面,0.0,0,,RPUNMLTLNHNFFAM17CA
草屯鎮,房地(土地+建物),南投縣草屯鎮新厝里中興路211~240號,3.01,住,,,1070507,土地1建物1車位0,十一層,十三層,套房(1房1廳1衛),住家用,鋼筋混凝土造,0830721,28.75,1,1,1,有,有,900000,31304,,0.0,0,,RPQNMLMLNHNFFBM78CA
