鄉鎮市區,交易標的,土地區段位置/建物區段門牌,土地移轉總面積(平方公尺),都市土地使用分區,非都市土地使用分區,非都市土地使用編定,交易年月日,交易筆棟數,移轉層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物移轉總面積(平方公尺),建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,總價(元),單價(元/平方公尺),車位類別,車位移轉總面積(平方公尺),車位總價(元),備註,編號
The villages and towns urban district,transaction sign,land sector position/building sector house number plate,land shifting total area (square meter),the use zoning or compiles and checks,the non-metropolis land use district,non-metropolis land use,transaction year, month and day,transaction pen number,shifting level,total floor number,building state,main use,main building materials,construction to complete the years,building shifting total area,Building present situation pattern - room,building present situation pattern - hall,building present situation pattern - health,building present situation pattern - compartmented,Whether there is manages the organization,total price (Yuan),the unit price (a Yuan/square meter),the berth category,berth shifting total area (square meter),the berth total price (Yuan),the note,serial number
西區,房地(土地+建物)+車位,臺中市西區五權西三街121~150號,16.72,住,,,1070425,土地3建物1車位1,二層,二十二層,住宅大樓(11層含以上有電梯),見其他登記事項,鋼筋混凝土造,0941117,219.16000000000003,4,2,2,有,有,14620000,66709,坡道機械,9.94,0,,RPUPMLMLNHNFFAB18CA
西區,房地(土地+建物)+車位,臺中市西區三民路一段31~60號,8.66,住,,,1070429,土地2建物1車位1,十一層,十九層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0840113,108.42,3,2,2,有,有,4000000,36897,坡道機械,0.0,0,,RPQQMLMLNHNFFAB87CA
南區,房地(土地+建物)+車位,臺中市南區復興路二段71巷31~60號,18.77,住,,,1070415,土地1建物1車位1,一層,八層,華廈(10層含以下有電梯),見其他登記事項,鋼筋混凝土造,0970509,131.6,2,1,1,有,有,6520000,49544,坡道平面,27.15,0,,RPRPMLLLNHNFFAB77CA
南區,車位,臺中市南區南工路361~390號,0.01,住,,,1070419,土地0建物0車位1,,,其他,,,,24.93,0,0,0,有,有,800000,,坡道平面,24.93,800000,,RPWOMLMLNHNFFAB28CA
南區,房地(土地+建物),臺中市南區平順街91~120號,73.0,住,,,1070410,土地1建物1車位0,全,四層,透天厝,住商用,鋼筋混凝土造,0691106,215.14,5,3,6,有,無,17160000,79762,,0.0,0,含增建或未登記建物。,RPQNMLSLNHNFFAB18CA
南區,房地(土地+建物),臺中市南區忠明南路730巷1~30號,8.87,住,,,1070422,土地1建物1車位0,十二層,二十層,住宅大樓(11層含以上有電梯),見其他登記事項,鋼筋混凝土造,0840429,92.55,3,2,2,有,有,3650000,39438,,0.0,0,,RPWOMLSLNHNFFAB88CA
西區,房地(土地+建物)+車位,臺中市西區大進街121~150號,28.62,住,,,1070404,土地1建物1車位1,四層,十五層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0830714,282.0,4,2,3,有,無,15500000,54965,坡道平面,0.0,0,,RPOOMLLMNHNFFAB47CA
西區,房地(土地+建物),臺中市西區柳川東路二段76巷1~30號,33.88,住,,,1070410,土地2建物1車位0,五層,五層,公寓(5樓含以下無電梯),見其他登記事項,鋼筋混凝土造,0690422,101.84,3,2,2,有,無,4680000,45954,,0.0,0,,RPXOMLLMNHNFFAB38CA
南區,房地(土地+建物),臺中市南區福田二街91~120號,19.38,住,,,1070322,土地1建物1車位0,二層,七層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0820311,110.99,3,2,2,有,有,3960000,35679,,0.0,0,,RPVPMLLJOHNFFAB08CA
西區,房地(土地+建物)+車位,臺中市西區大昌街181~210號,31.87,住,,,1070424,土地1建物1車位1,四層,六層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0790106,149.05,3,2,2,有,有,7580000,50855,升降機械,0.0,0,,RPWOMLOJOHNFFAB38CA
西區,房地(土地+建物)+車位,臺中市西區忠明南路91~120號,10.53,住,,,1070429,土地1建物1車位1,十層,十五層,住宅大樓(11層含以上有電梯),見其他登記事項,鋼筋混凝土造,0951222,115.34,2,1,1,有,無,9580000,83059,坡道平面,25.27,0,,RPXNMLLKOHNFFAB18CA
南區,房地(土地+建物)+車位,臺中市南區工學路61~90號,7.78,住,,,1070429,土地1建物2車位1,九層,十六層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0820612,104.53,2,2,1,有,有,4700000,44959,坡道平面,25.19,0,,RPQNMLKLOHNFFAB47CA
北區,房地(土地+建物),臺中市北區梅豐街61~90號,30.41,住,,,1070421,土地1建物1車位0,七層,七層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0701207,141.99,4,2,2,有,有,5000000,35214,,0.0,0,,RPSOMLNLNHNFFBB08CA
北屯區,房地(土地+建物),臺中市北屯區大連路一段127巷1~30號,48.0,住,,,1070408,土地1建物1車位0,全,二層,透天厝,住家用,鋼筋混凝土加強磚造,0591030,67.95,2,2,2,有,無,7050000,103753,,0.0,0,含增建或未登記建物。,RPXPMLNLNHNFFBB68CA
北屯區,房地(土地+建物)+車位,臺中市北屯區熱河路二段211~240號,15.71,商,,,1070422,土地1建物1車位1,四層,十層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0820908,144.0,3,2,2,有,有,6020000,41806,坡道平面,0.0,1000000,,RPPOMLOLNHNFFBB87CA
北屯區,土地,仁德段631~660地號,337.0,住,,,1070507,土地2建物0車位0,,,其他,,,,0.0,0,0,0,有,無,17125900,50819,,0.0,0,,RPRPMLOLNHNFFBB18CA
北屯區,土地,仁德段631~660地號,359.0,其他,,,1070507,土地2建物0車位0,,,其他,,,,0.0,0,0,0,有,無,16288500,45372,,0.0,0,,RPSPMLOLNHNFFBB28CA
北區,房地(土地+建物)+車位,臺中市北區陝西八街1~30號,13.79,住,,,1070423,土地1建物1車位1,二層,十三層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0960129,158.52,3,2,2,有,有,9200000,58037,坡道平面,24.8,0,,RPOQMLOLNHNFFBB97CA
北區,房地(土地+建物),臺中市北區健行路421~450號,5.4,住,,,1070504,土地1建物1車位0,四層,十六層,套房(1房1廳1衛),住家用,鋼筋混凝土造,0840526,41.94,1,1,1,有,有,1710000,40773,,0.0,0,,RPPQMLOLNHNFFBB08CA
北屯區,房地(土地+建物)+車位,臺中市北屯區祥順六街121~150號,27.01,住,,,1070424,土地1建物1車位1,七層,十二層,住宅大樓(11層含以上有電梯),見其他登記事項,鋼筋混凝土造,1050304,149.91000000000003,3,2,2,有,有,7200000,48029,坡道平面,23.25,0,,RPUNMLPLNHNFFBB38CA
北屯區,房地(土地+建物)+車位,臺中市北屯區北屯路391~420號,27.54,其他,,,1070418,土地2建物1車位1,八層,十六層,住宅大樓(11層含以上有電梯),見其他登記事項,鋼筋混凝土造,1040826,218.17000000000002,3,1,2,有,有,15000000,73344,坡道平面,32.06,1350000,,RPVOMLPLNHNFFBB58CA
北區,房地(土地+建物),臺中市北區北屯路1~30號,7.06,住,,,1070505,土地3建物1車位0,五層,十層,套房(1房1廳1衛),商業用,鋼骨混凝土造,0691021,34.49,1,0,1,有,有,1650000,47840,,0.0,0,,RPPPMLPLNHNFFBB08CA
北區,房地(土地+建物),臺中市北區北屯路1~30號,7.06,住,,,1070505,土地3建物1車位0,五層,十層,套房(1房1廳1衛),商業用,鋼骨混凝土造,0691021,33.55,1,0,1,有,有,1550000,46200,,0.0,0,,RPQPMLPLNHNFFBB18CA
北區,房地(土地+建物),臺中市北區錦平街1~30號,5.17,住,,,1070420,土地1建物1車位0,八層,八層,套房(1房1廳1衛),住家用,鋼筋混凝土造,0841205,32.56,1,1,1,有,有,1118000,34337,,0.0,0,,RPQNMLRLNHNFFBB18CA
北區,房地(土地+建物),臺中市北區中清路一段61~90號,2.49,住,,,1070507,土地2建物1車位0,四層,十三層,套房(1房1廳1衛),住家用,鋼筋混凝土造,0850601,30.61,1,0,1,有,有,1400000,45737,,0.0,0,,RPVRMLPLNHNFFBB88CA
北屯區,房地(土地+建物),臺中市北屯區雷中街18巷1~30號,39.75,住,,,1070418,土地1建物1車位0,四層,四層,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0670817,78.96,3,2,2,有,無,3800000,48126,,0.0,0,,RPPNMLSLNHNFFBB18CA
北區,房地(土地+建物),臺中市北區北屯路31~60號,2.34,住,,,1070429,土地4建物1車位0,十二層,十二層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0721230,25.37,1,0,1,有,有,1150000,45329,,0.0,0,,RPVOMLTLNHNFFBB98CA
北區,房地(土地+建物),臺中市北區進化路571~600號,3.23,住,,,1070222,土地1建物1車位0,十三層,十六層,套房(1房1廳1衛),住家用,鋼筋混凝土造,0800606,46.21,1,1,1,有,有,1580000,34192,,0.0,0,,RPRPMLTLNHNFFBB68CA
北屯區,土地,同榮段1711~1740地號,2586.0,住,,,1061110,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,405000000,156613,,0.0,0,,RPPPMLLJOHNFFBB57CA
北區,土地,邱厝子段31~60地號,3.34,其他,,,1070430,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,120000,35928,,0.0,0,1.公共設施保留地2.地政士僅受託買賣案件申請登記，並無代理撰擬不動產買賣契約書，係由不動產經紀業或權利人自行提供成交案件實際資訊，供地政士申報登錄,RPUPMLLJOHNFFBB08CA
北屯區,車位,臺中市北屯區昌平路二段31~60號,0.06,住,,,1070423,土地0建物0車位1,,,其他,,,,23.88,0,0,0,有,有,1100000,,坡道平面,23.88,1100000,1.單獨車位交易。2.權利人共計2人。3.地政士僅受託買賣案件申請登記，並未代理撰擬不動產買賣契約書，本成交資訊係由權利人自行提供屬實。,RPSNMLRJOHNFFBB28CA
北區,房地(土地+建物)+車位,臺中市北區益華街39巷1~30號,47.43,住,,,1070322,土地2建物1車位1,三層,五層,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0690619,159.28,3,2,2,有,無,5720000,35912,坡道平面,0.0,0,,RPXRMLRJOHNFFBB56CA
